dataset,LR/sk-learn,LR/numpy
airbus_historical_financials_LR,0.002317380744271029,0.0023173807442714686
amazon_historical_financials_LR,2.588669455427769e-22,1.3805551238602374e-22
applied_materials_historical_financials_LR,0.0003660521122695496,0.0003660521122701105
crude_oil_prices_LR,6.537555526654527e-28,8.0025532140673e-24
diamonds_LR,0.14104573741110615,0.14107348470630654
gamestop_historical_financials_LR,0.03008755019263695,0.030087550192432953
google_historical_financials_LR,4.792143512753824e-07,4.792143489896712e-07
hsi_historical_financials_LR,2.5994504414068137e-19,4.107205632877257e-22
ibm_historical_financials_LR,0.0870714946222843,0.08707149459467807
nasdaq_historical_financials_LR,1.2366615355788122e-22,7.700836740872146e-22
walmart_historical_financials_LR,0.0072474596810148525,0.007247459681240402
